#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
1324 VMOVDQA64                     32                0
1325 VMOVDQU                      493                0
1328 VMOVDQU64                    102                0
1338 VMOVNTDQ                      32                0
1342 VMOVQ                         16                0
1349 VMOVUPS                      173                0
1389 VPALIGNR                      60                0
1390 VPAND                        218                0
1392 VPANDN                       200                0
1405 VPBROADCASTB                  10                0
1406 VPBROADCASTD                   5                0
1409 VPBROADCASTQ                   3                0
1415 VPCMPEQB                     418                0
1416 VPCMPEQD                     159                0
1417 VPCMPEQQ                      20                0
1423 VPCMPGTB                     400                0
1427 VPCMPISTRI                    96                0
1561 VPMINUB                       86                0
1562 VPMINUD                       40                0
1573 VPMOVMSKB                    492                0
1617 VPOR                         251                0
1658 VPSHUFB                        1                0
1667 VPSLLDQ                       30                0
1680 VPSRLDQ                       30                0
1686 VPSUBB                        34                0
1696 VPTEST                         6                0
1713 VPXOR                         26                0
1817 VZEROUPPER                   303                0
1825 WRPKRU                         1                0
1832 XADD_LOCK                      6                0
1834 XCHG                         408                0
1836 XGETBV                         1                0
1838 XOR                        10675                0
1839 XORPD                          6                0
1840 XORPS                          2                0
1843 XRSTOR                         2                0
1847 XSAVE                          1                0
1849 XSAVEC                         1                0
3000 *total                    412809                0
3001 *mem-atomic                  685                0
3002 *stack-read                38448               95
3003 *stack-write               42596                0
3004 *iprel-read                 6936               10
3005 *iprel-write                2647                0
3007 *mem-read-1                 7169              120
3008 *mem-read-2                  988                0
3010 *mem-read-4                16615               81
3014 *mem-read-8                52325              103
3016 *mem-read-10                  93                0
3022 *mem-read-16                8015                0
3034 *mem-read-28                   6                0
3038 *mem-read-32                 603                0
3070 *mem-read-64                 320                0
3518 *mem-write-0                   1                0
3519 *mem-write-1                3544               10
3520 *mem-write-2                 580                0
3522 *mem-write-4               11108                2
3526 *mem-write-8               43414               73
3528 *mem-write-10                 36                0
3534 *mem-write-16               5741                0
3546 *mem-write-28                  5                0
3550 *mem-write-32                289                0
3582 *mem-write-64                214                0
4030 LAST                           1                0
4094 LAST                           2                0

#
# $dynamic-counts
#
#     opcode       count-unpredicated    count-predicated
#
  10 ADD                        39211                0
  33 AND                         7863                0
  67 BSF                          332                0
  68 BSR                            2                0
  70 BT                            36                0
  79 CALL_NEAR                   3365                0
  98 CDQE                          44                0
 129 CMOVB                          0               56
 130 CMOVBE                         0                2
 133 CMOVNB                         0                5
 134 CMOVNBE                        0               64
 136 CMOVNLE                        0                1
 139 CMOVNS                         0                3
 140 CMOVNZ                         0               33
 143 CMOVS                          0                3
 144 CMOVZ                          0              433
 145 CMP                        38734                0
 169 CMPXCHG                        2                0
 178 CPUID                         31                0
 179 CQO                            3                0
 225 DIV                          194                0
 354 IDIV                           3                0
 355 IMUL                         148                0
 380 JB                          3041                0
 381 JBE                         1227                0
 384 JL                             3                0
 385 JLE                           42                0
 386 JMP                         7591                0
 389 JNB                          922                0
 390 JNBE                       10371                0
 391 JNL                            4                0
 392 JNLE                         167                0
 395 JNS                           15                0
 396 JNZ                        20288                0
 400 JS                           474                0
 401 JZ                         29011                0
 459 LEA                        14724                0
 499 MOV                        77541                0
 501 MOVAPS                       505                0
 503 MOVD                          14                0
 508 MOVDQA                       951                0
 509 MOVDQU                       132                0
 511 MOVHPD                       362                0
 512 MOVHPS                         8                0
 514 MOVLPD                       362                0
 526 MOVQ                         515                0
 536 MOVSX                       1708                0
 537 MOVSXD                      1061                0
 539 MOVUPS                       258                0
 540 MOVZX                      17111                0
 544 MUL                           10                0
 552 NEG                           81                0
 554 NOP                         4710                0
 563 NOT                          183                0
 565 OR                           794                0
 582 PADDQ                          4                0
 599 PCMPEQB                      965                0
 600 PCMPEQD                        4                0
 668 PMOVMSKB                     498                0
 689 POP                         5566                0
 699 POR                          137                0
 712 PSHUFD                        13                0
 720 PSLLDQ                       263                0
 727 PSRLDQ                       127                0
 730 PSUBB                        457                0
 745 PUNPCKLBW                     12                0
 747 PUNPCKLQDQ                   321                0
 748 PUNPCKLWD                     12                0
 749 PUSH                        7540                0
 759 PXOR                         711                0
 776 RDTSC                          8                0
 822 RET_NEAR                    3353                0
 825 ROL                           19                0
 826 ROR                            3                0
 838 SAR                         2768                0
 841 SBB                            3                0
 852 SETB                           7                0
 853 SETBE                         79                0
 859 SETNLE                         7                0
 863 SETNZ                         65                0
 868 SETZ                         601                0
 878 SHL                         2301                0
 881 SHR                         3151                0
 884 SHUFPD                         3                0
 903 STOSQ                          0              366
 908 SUB                        14331                0
 915 SYSCALL                       88                0
 932 TEST                       25463                0
 941 TZCNT                         29                0
1320 VMOVD                         18                0
1322 VMOVDQA                    18715                0
1325 VMOVDQU                    22534                0
1405 VPBROADCASTB                  19                0
1415 VPCMPEQB                      65                0
1561 VPMINUB                        4                0
1573 VPMOVMSKB                     41                0
1617 VPOR                          20                0
1713 VPXOR                         30                0
1817 VZEROUPPER                   411                0
1834 XCHG                         324                0
1836 XGETBV                         1                0
1838 XOR                         1788                0
1843 XRSTOR                         2                0
1849 XSAVEC                         2                0
3000 *total                    397037              966
3002 *stack-read                18691                0
3003 *stack-write               18347                0
3004 *iprel-read                 4732                0
3005 *iprel-write                 655                0
3007 *mem-read-1                18209                0
3008 *mem-read-2                 3346                0
3010 *mem-read-4                10545                0
3014 *mem-read-8                42408                0
3022 *mem-read-16                 842                0
3038 *mem-read-32               20656                0
3519 *mem-write-1                 608                0
3520 *mem-write-2                  41                0
3522 *mem-write-4                3192                0
3526 *mem-write-8               21079                0
3534 *mem-write-16                893                0
3550 *mem-write-32              20612                0
3582 *mem-write-64                  2                0
4094 LAST                           2                0
# $eof
