#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 859 SETNLE                         1                0
 863 SETNZ                         48                0
 868 SETZ                         487                0
 878 SHL                        10964                0
 881 SHR                         2393                0
 884 SHUFPD                         3                0
 903 STOSQ                          0              366
 908 SUB                        15473                0
 915 SYSCALL                      100                0
 932 TEST                       27032                0
 941 TZCNT                        603                0
1320 VMOVD                        600                0
1322 VMOVDQA                        1                0
1325 VMOVDQU                      600                0
1405 VPBROADCASTB                 601                0
1415 VPCMPEQB                    1205                0
1573 VPMOVMSKB                    605                0
1617 VPOR                         600                0
1713 VPXOR                        604                0
1817 VZEROUPPER                   604                0
1834 XCHG                          18                0
1836 XGETBV                         1                0
1838 XOR                         5139                0
1843 XRSTOR                         2                0
1849 XSAVEC                         2                0
3000 *total                    474332             2186
3002 *stack-read                52628                0
3003 *stack-write               39438                0
3004 *iprel-read                 5299                0
3005 *iprel-write                 813                0
3007 *mem-read-1                14869                0
3008 *mem-read-2                 3157                0
3010 *mem-read-4                36665                0
3014 *mem-read-8                59449                0
3022 *mem-read-16                 479                0
3038 *mem-read-32                 604                0
3519 *mem-write-1                1795                0
3520 *mem-write-2                 234                0
3522 *mem-write-4               15656                0
3526 *mem-write-8               31161                0
3534 *mem-write-16               1391                0
3582 *mem-write-64                  2                0
4094 LAST                           2                0
# $eof
